Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,284,0,17000,17192.23393839445,1043.9150430029258,33416.16503999103,843.580985915493,2.489654843739425,0.0,17000,20000,21000,22000,23000,24000,26000,28000,33000,33000,33000
,Aggregated,284,0,17000,17192.23393839445,1043.9150430029258,33416.16503999103,843.580985915493,2.489654843739425,0.0,17000,20000,21000,22000,23000,24000,26000,28000,33000,33000,33000
