Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,634,0,180,181.3739496319957,159.91513599874452,262.30374397709966,96.20977917981072,5.506409518268402,0.0,180,180,190,190,190,200,210,210,260,260,260
,Aggregated,634,0,180,181.3739496319957,159.91513599874452,262.30374397709966,96.20977917981072,5.506409518268402,0.0,180,180,190,190,190,200,210,210,260,260,260
