Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,23658,0,200,233.1542043655801,16.978038009256124,677.1337210084312,54.28379406543241,205.33731692230842,0.0,200,290,310,320,360,390,410,430,490,560,680
,Aggregated,23658,0,200,233.1542043655801,16.978038009256124,677.1337210084312,54.28379406543241,205.33731692230842,0.0,200,290,310,320,360,390,410,430,490,560,680
