Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,3509,0,310,326.0156485705369,26.167849951889366,956.595933996141,95.6129951553149,30.451944439842524,0.0,310,380,420,450,510,570,650,700,870,960,960
,Aggregated,3509,0,310,326.0156485705369,26.167849951889366,956.595933996141,95.6129951553149,30.451944439842524,0.0,310,380,420,450,510,570,650,700,870,960,960
