Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,5782,0,19,19.887094757244952,14.473214978352189,99.0137109765783,425.71117260463507,50.17147123082698,0.0,19,20,21,22,24,27,29,32,39,99,99
,Aggregated,5782,0,19,19.887094757244952,14.473214978352189,99.0137109765783,425.71117260463507,50.17147123082698,0.0,19,20,21,22,24,27,29,32,39,99,99
