Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/score,2740,0,1000,1028.8148529287369,39.271725981961936,2395.3384360065684,54.26058394160584,23.791881484376734,0.0,1000,1200,1300,1300,1500,1600,1700,1900,2200,2400,2400
,Aggregated,2740,0,1000,1028.8148529287369,39.271725981961936,2395.3384360065684,54.26058394160584,23.791881484376734,0.0,1000,1200,1300,1300,1500,1600,1700,1900,2200,2400,2400
